latitude,longitude,brightness
1.449999411600004,103.69583560290002,5.0790687
1.449999411600004,103.70000226960005,3.4810553
1.449999411600004,103.70416893630002,4.3390784
1.449999411600004,103.708335603,4.8095946
1.449999411600004,103.71250226970002,3.7970672
1.449999411600004,103.7166689364,3.81398
1.449999411600004,103.72083560310003,3.47067
1.449999411600004,103.7250022698,3.47067
1.449999411600004,103.72916893650003,3.634844
1.449999411600004,103.7333356032,4.056528
1.449999411600004,103.73750226990003,4.2696495
1.449999411600004,103.7416689366,5.5066648
1.449999411600004,103.74583560330004,6.913055
1.449999411600004,103.75000227000001,7.2621894
1.449999411600004,103.75416893670004,16.629738
1.449999411600004,103.75833560340001,22.447342
1.449999411600004,103.76250227010004,12.532345
1.449999411600004,103.76666893680002,36.708935
1.449999411600004,103.77083560350005,51.133286
1.449999411600004,103.77500227020002,25.694122
1.449999411600004,103.77916893689999,32.86146
1.449999411600004,103.78333560360002,67.6095
1.449999411600004,103.7875022703,119.21054
1.449999411600004,103.79166893700003,93.187904
1.449999411600004,103.7958356037,88.75639
1.449999411600004,103.80000227040003,75.04251
1.449999411600004,103.8041689371,78.88027
1.449999411600004,103.80833560380003,77.711685
1.449999411600004,103.8125022705,72.70363
1.449999411600004,103.81666893720003,74.62186
1.449999411600004,103.82083560390001,74.32944
1.449999411600004,103.82500227060004,66.430565
1.449999411600004,103.82916893730001,58.002182
1.449999411600004,103.83333560400004,44.33031
1.449999411600004,103.83750227070001,27.599815
1.449999411600004,103.84166893740004,11.688564
1.449999411600004,103.84583560410002,6.700662
1.449999411600004,103.85000227080005,6.2265453
1.449999411600004,103.85416893750002,5.705599
1.449999411600004,103.86250227090002,5.6664248
1.449999411600004,103.8666689376,6.716178
1.449999411600004,103.87083560430003,14.011117
1.449999411600004,103.875002271,25.944977
1.449999411600004,103.87916893770003,33.941772
1.449999411600004,103.8833356044,42.66859
1.449999411600004,103.88750227110003,60.78192
1.449999411600004,103.8916689378,83.577545
1.449999411600004,103.89583560450004,82.29303
1.449999411600004,103.90000227120001,80.247894
1.449999411600004,103.90416893790004,86.7516
1.449999411600004,103.90833560460001,68.10014
1.449999411600004,103.91250227130004,52.375134
1.449999411600004,103.91666893800002,49.63276
1.449999411600004,103.92083560470004,54.993095
1.449999411600004,103.92500227140002,41.11359
1.449999411600004,103.92916893810005,31.202995
1.449999411600004,103.93333560480002,31.409967
1.449999411600004,103.9375022715,23.87291
1.449999411600004,103.94166893820002,14.8408785
1.449999411600004,103.9458356049,9.495861
