region,latitude,longitude,brightness
South West,1.3213089773279574,103.64139147141336,56.96217727661133
South West,1.3223089773279573,103.64139147141336,56.96217727661133
South West,1.3233089773279572,103.64139147141336,59.172420501708984
South West,1.324308977327957,103.64139147141336,59.172420501708984
South West,1.325308977327957,103.64139147141336,59.172420501708984
South West,1.3193089773279576,103.64239147141336,56.96217727661133
South West,1.3203089773279575,103.64239147141336,56.96217727661133
South West,1.3213089773279574,103.64239147141336,56.96217727661133
South West,1.3223089773279573,103.64239147141336,56.96217727661133
South West,1.3233089773279572,103.64239147141336,59.172420501708984
South West,1.324308977327957,103.64239147141336,59.172420501708984
South West,1.325308977327957,103.64239147141336,59.172420501708984
South West,1.3263089773279568,103.64239147141336,59.172420501708984
South West,1.3273089773279567,103.64239147141336,67.10958862304688
South West,1.3283089773279566,103.64239147141336,67.10958862304688
South West,1.3293089773279565,103.64239147141336,67.10958862304688
South West,1.3173089773279578,103.64339147141337,54.28394317626953
South West,1.3183089773279577,103.64339147141337,54.28394317626953
South West,1.3193089773279576,103.64339147141337,56.96217727661133
South West,1.3203089773279575,103.64339147141337,56.96217727661133
South West,1.3213089773279574,103.64339147141337,56.96217727661133
South West,1.3223089773279573,103.64339147141337,56.96217727661133
South West,1.3233089773279572,103.64339147141337,59.172420501708984
South West,1.324308977327957,103.64339147141337,59.172420501708984
South West,1.325308977327957,103.64339147141337,59.172420501708984
South West,1.3263089773279568,103.64339147141337,59.172420501708984
South West,1.3273089773279567,103.64339147141337,67.10958862304688
South West,1.3283089773279566,103.64339147141337,67.10958862304688
South West,1.3293089773279565,103.64339147141337,67.10958862304688
South West,1.3303089773279564,103.64339147141337,67.10958862304688
South West,1.3313089773279563,103.64339147141337,61.719024658203125
South West,1.3323089773279562,103.64339147141337,61.719024658203125
South West,1.315308977327958,103.64439147141337,44.262359619140625
South West,1.316308977327958,103.64439147141337,44.262359619140625
South West,1.3173089773279578,103.64439147141337,44.262359619140625
South West,1.3183089773279577,103.64439147141337,44.262359619140625
South West,1.3193089773279576,103.64439147141337,61.73750686645508
South West,1.3203089773279575,103.64439147141337,61.73750686645508
South West,1.3213089773279574,103.64439147141337,61.73750686645508
South West,1.3223089773279573,103.64439147141337,61.73750686645508
South West,1.3233089773279572,103.64439147141337,65.04874420166016
South West,1.324308977327957,103.64439147141337,65.04874420166016
South West,1.325308977327957,103.64439147141337,65.04874420166016
South West,1.3263089773279568,103.64439147141337,65.04874420166016
South West,1.3273089773279567,103.64439147141337,57.27024841308594
South West,1.3283089773279566,103.64439147141337,57.27024841308594
South West,1.3293089773279565,103.64439147141337,57.27024841308594
South West,1.3303089773279564,103.64439147141337,57.27024841308594
South West,1.3313089773279563,103.64439147141337,58.59861373901367
South West,1.3323089773279562,103.64439147141337,58.59861373901367
South West,1.333308977327956,103.64439147141337,58.59861373901367
South West,1.334308977327956,103.64439147141337,58.59861373901367
South West,1.3353089773279558,103.64439147141337,58.59861373901367
South West,1.3363089773279557,103.64439147141337,70.62284851074219
South West,1.3133089773279583,103.64539147141338,32.41120529174805
South West,1.3143089773279582,103.64539147141338,32.41120529174805
South West,1.315308977327958,103.64539147141338,44.262359619140625
South West,1.316308977327958,103.64539147141338,44.262359619140625
South West,1.3173089773279578,103.64539147141338,44.262359619140625
South West,1.3183089773279577,103.64539147141338,44.262359619140625
South West,1.3193089773279576,103.64539147141338,61.73750686645508
South West,1.3203089773279575,103.64539147141338,61.73750686645508
South West,1.3213089773279574,103.64539147141338,61.73750686645508
South West,1.3223089773279573,103.64539147141338,61.73750686645508
South West,1.3233089773279572,103.64539147141338,65.04874420166016
South West,1.324308977327957,103.64539147141338,65.04874420166016
South West,1.325308977327957,103.64539147141338,65.04874420166016
South West,1.3263089773279568,103.64539147141338,65.04874420166016
South West,1.3273089773279567,103.64539147141338,57.27024841308594
South West,1.3283089773279566,103.64539147141338,57.27024841308594
South West,1.3293089773279565,103.64539147141338,57.27024841308594
South West,1.3303089773279564,103.64539147141338,57.27024841308594
South West,1.3313089773279563,103.64539147141338,58.59861373901367
South West,1.3323089773279562,103.64539147141338,58.59861373901367
South West,1.333308977327956,103.64539147141338,58.59861373901367
South West,1.334308977327956,103.64539147141338,58.59861373901367
South West,1.3353089773279558,103.64539147141338,58.59861373901367
South West,1.3363089773279557,103.64539147141338,70.62284851074219
South West,1.3373089773279556,103.64539147141338,70.62284851074219
South West,1.3383089773279555,103.64539147141338,70.62284851074219
South West,1.3113089773279585,103.64639147141338,32.41120529174805
South West,1.3123089773279584,103.64639147141338,32.41120529174805
South West,1.3133089773279583,103.64639147141338,32.41120529174805
South West,1.3143089773279582,103.64639147141338,32.41120529174805
South West,1.315308977327958,103.64639147141338,44.262359619140625
South West,1.316308977327958,103.64639147141338,44.262359619140625
South West,1.3173089773279578,103.64639147141338,44.262359619140625
South West,1.3183089773279577,103.64639147141338,44.262359619140625
South West,1.3193089773279576,103.64639147141338,61.73750686645508
South West,1.3203089773279575,103.64639147141338,61.73750686645508
South West,1.3213089773279574,103.64639147141338,61.73750686645508
South West,1.3223089773279573,103.64639147141338,61.73750686645508
South West,1.3233089773279572,103.64639147141338,65.04874420166016
South West,1.324308977327957,103.64639147141338,65.04874420166016
South West,1.325308977327957,103.64639147141338,65.04874420166016
South West,1.3263089773279568,103.64639147141338,65.04874420166016
South West,1.3273089773279567,103.64639147141338,57.27024841308594
South West,1.3283089773279566,103.64639147141338,57.27024841308594
South West,1.3293089773279565,103.64639147141338,57.27024841308594
South West,1.3303089773279564,103.64639147141338,57.27024841308594
